"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"RG Sharma","India","Sri Lanka",264,33,9
"L Ronchi","New Zealand","Sri Lanka",170,14,9
"D Ramdin","West Indies","Bangladesh",169,8,11
"HM Amla","South Africa","West Indies",153,14,0
"AB de Villiers","South Africa","West Indies",149,9,16
"Sikandar Raza","Zimbabwe","Afghanistan",141,11,7
"IR Bell","England","Australia",141,15,1
"AD Mathews","Sri Lanka","India",139,6,10
"V Kohli","India","Sri Lanka",139,12,3
"DA Miller","South Africa","Zimbabwe",138,7,9
"RG Sharma","India","Australia",138,9,4
"S Dhawan","India","South Africa",137,16,2
"AB de Villiers","South Africa","Australia",136,11,2
"V Kohli","India","Bangladesh",136,16,2
"AJ Finch","Australia","England",135,12,3
"HM Amla","South Africa","West Indies",133,11,6
"Khurram Khan","U.A.E","Afghanistan",132,17,1
"RR Rossouw","South Africa","West Indies",132,9,8
"DA Miller","South Africa","West Indies",130,11,3
"Nawroz Mangal","Afghanistan","U.A.E.",129,8,4
"D Ramdin","West Indies","England",128,12,5
"Q de Kock","South Africa","Sri Lanka",128,12,3
"RR Rossouw","South Africa","West Indies",128,11,2
"V Kohli","India","West Indies",127,13,3
"DA Warner","Australia","England",127,18,0
"MN Samuels","West Indies","India",126,11,4
"F du Plessis","South Africa","Australia",126,8,6
"DM Bravo","West Indies","Bangladesh",124,7,8
"KS Williamson","New Zealand","Pakistan",123,12,0
"HM Amla","South Africa","Zimbabwe",122,6,3
"AT Rayudu","India","Sri Lanka",121,10,4
"JC Buttler","England","Sri Lanka",121,11,4
"F du Plessis","South Africa","Zimbabwe",121,5,4
"EJG Morgan","England","Australia",121,11,3
"HM Amla","South Africa","New Zealand",119,15,0
"MM Ali","England","Sri Lanka",119,11,5
"Usman Ghani","Afghanistan","Zimbabwe",118,12,1
"DPMD Jayawardene","Sri Lanka","India",118,12,1
"Mushfiqur Rahim","Bangladesh","India",117,7,2
"BB McCullum","New Zealand","Sri Lanka",117,12,5
"CS MacLeod","Scotland","Ireland",116,15,0
"TM Dilshan","Sri Lanka","New Zealand",116,17,0
"TM Dilshan","Sri Lanka","New Zealand",116,17,1
"JP Duminy","South Africa","Zimbabwe",115,9,3
"Fawad Alam","Pakistan","Sri Lanka",114,8,3
"KC Sangakkara","Sri Lanka","New Zealand",113,14,0
"JE Root","England","India",113,10,3
"S Dhawan","India","Sri Lanka",113,14,3
"Ahmed Shehzad","Pakistan","New Zealand",113,12,2
"KC Sangakkara","Sri Lanka","England",112,14,0
"MN Samuels","West Indies","India",112,9,6
"KC Sangakkara","Sri Lanka","England",112,12,2
"KS Williamson","New Zealand","Pakistan",112,14,1
"AM Rahane","India","Sri Lanka",111,13,2
"HM Amla","South Africa","Sri Lanka",109,8,1
"Anamul Haque","Bangladesh","West Indies",109,11,1
"L Siaka","Papua New Guinea","Hong Kong",109,9,2
"AJ Finch","Australia","South Africa",109,9,3
"AB de Villiers","South Africa","Sri Lanka",108,11,4
"JE Root","England","West Indies",107,7,0
"Q de Kock","South Africa","Australia",107,14,0
"V Kohli","India","Pakistan",107,8,0
"MDKJ Perera","Sri Lanka","Bangladesh",106,6,5
"MJ Lumb","England","West Indies",106,7,2
"F du Plessis","South Africa","Australia",106,11,1
"AM Rahane","India","England",106,10,4
"LRPL Taylor","New Zealand","Pakistan",105,9,1
"JE Root","England","Sri Lanka",104,7,1
"GD Elliott","New Zealand","Sri Lanka",104,7,2
"SPD Smith","Australia","South Africa",104,7,0
"DPMD Jayawardene","Sri Lanka","New Zealand",104,12,1
"KC Sangakkara","Sri Lanka","India",103,12,1
"Ahmed Shehzad","Pakistan","Bangladesh",103,12,1
"Younis Khan","Pakistan","New Zealand",103,4,2
"KS Williamson","New Zealand","Sri Lanka",103,6,1
"Umar Akmal","Pakistan","Afghanistan",102,7,3
"SPD Smith","Australia","England",102,6,1
"LRPL Taylor","New Zealand","Pakistan",102,13,2
"HDRL Thirimanne","Sri Lanka","Pakistan",102,11,1
"AJ Finch","Australia","South Africa",102,9,1
"HM Amla","South Africa","Australia",102,9,0
"LMP Simmons","West Indies","Ireland",102,9,5
"RD Berrington","Scotland","Ireland",101,8,1
"HDRL Thirimanne","Sri Lanka","Pakistan",101,13,0
"HM Amla","South Africa","Sri Lanka",101,11,0
"SPD Smith","Australia","Pakistan",101,6,2
"Shakib Al Hasan","Bangladesh","Zimbabwe",101,10,0
"TM Dilshan","Sri Lanka","England",101,9,1
"Anamul Haque","Bangladesh","Pakistan",100,6,4
"SK Raina","India","England",100,12,3
"DPMD Jayawardene","Sri Lanka","Afghanistan",100,8,1
"JC Buttler","England","West Indies",99,7,4
"L Ronchi","New Zealand","South Africa",99,11,3
"JWA Taylor","England","Australia",98,11,2
"Amjad Ali","U.A.E","Afghanistan",98,11,1
"S Dhawan","India","England",97,11,4
"DR Smith","West Indies","India",97,11,2
"KS Williamson","New Zealand","Pakistan",97,8,0
"KS Williamson","New Zealand","Sri Lanka",97,8,2
"F du Plessis","South Africa","Australia",96,8,1
"JF Mooney","Ireland","Scotland",96,12,2
"HJW Gardiner","Scotland","Afghanistan",96,14,0
"AJ Finch","Australia","India",96,5,2
"LRPL Taylor","New Zealand","Sri Lanka",96,7,2
"Anamul Haque","Bangladesh","Zimbabwe",95,9,0
"GJ Maxwell","Australia","England",95,15,0
"S Dhawan","India","Sri Lanka",94,7,1
"DPMD Jayawardene","Sri Lanka","New Zealand",94,9,3
"H Masakadza","Zimbabwe","Afghanistan",93,10,1
"GJ Maxwell","Australia","Zimbabwe",93,9,5
"AD Mathews","Sri Lanka","Pakistan",93,8,0
"AD Mathews","Sri Lanka","India",92,10,1
"PR Stirling","Ireland","West Indies",92,9,3
"S Dhawan","India","Sri Lanka",91,8,1
"AB de Villiers","South Africa","Australia",91,6,0
"KC Sangakkara","Sri Lanka","England",91,10,0
"Asghar Stanikzai","Afghanistan","Bangladesh",90,6,3
"E Chigumbura","Zimbabwe","South Africa",90,10,2
"JWA Taylor","England","Sri Lanka",90,6,2
"Sohaib Maqsood","Pakistan","Sri Lanka",89,9,0
"AB de Villiers","South Africa","New Zealand",89,9,0
"KA Pollard","West Indies","Bangladesh",89,5,6
"AD Mathews","Sri Lanka","Pakistan",89,9,2
"MR Marsh","Australia","Zimbabwe",89,7,4
"HJW Gardiner","Scotland","Ireland",89,10,0
"DJG Sammy","West Indies","Ireland",89,9,4
"LRPL Taylor","New Zealand","Pakistan",88,5,1
"IR Bell","England","India",88,8,0
"TM Dilshan","Sri Lanka","England",88,7,0
"KC Sangakkara","Sri Lanka","South Africa",88,9,0
"TM Dilshan","Sri Lanka","England",88,10,0
"DJ Bravo","West Indies","England",87,8,1
"RA Jadeja","India","England",87,9,2
"MR Marsh","Australia","South Africa",86,5,7
"TM Dilshan","Sri Lanka","South Africa",86,9,0
"KC Sangakkara","Sri Lanka","England",86,7,0
"MW Machan","Scotland","Ireland",86,4,0
"Mohammad Hafeez","Pakistan","New Zealand",86,5,3
"Khurram Khan","U.A.E","Afghanistan",85,9,0
"Haris Sohail","Pakistan","New Zealand",85,5,1
"PJ Hughes","Australia","South Africa",85,7,1
"H Masakadza","Zimbabwe","Afghanistan",84,9,2
"Q de Kock","South Africa","Zimbabwe",84,7,2
"EC Joyce","Ireland","West Indies",84,10,2
"Najibullah Zadran","Afghanistan","Ireland",83,7,6
"Samiullah Shenwari","Afghanistan","U.A.E.",82,9,2
"Mahmudullah","Bangladesh","Zimbabwe",82,6,0
"SR Watson","Australia","South Africa",82,7,2
"JWA Taylor","England","India",82,4,0
"Samiullah Shenwari","Afghanistan","Bangladesh",81,10,1
"Javed Ahmadi","Afghanistan","Ireland",81,7,3
"CJ Anderson","New Zealand","Sri Lanka",81,11,1
"AB de Villiers","South Africa","West Indies",81,6,0
"KC Sangakkara","Sri Lanka","New Zealand",81,7,2
"TM Dilshan","Sri Lanka","New Zealand",81,5,1
"Q de Kock","South Africa","New Zealand",80,11,0
"NJ O'Brien","Ireland","Scotland",80,3,2
"AB de Villiers","South Africa","Australia",80,4,1
"Anamul Haque","Bangladesh","Zimbabwe",80,5,1
"JE Root","England","Sri Lanka",80,5,0
"H Masakadza","Zimbabwe","South Africa",80,8,2
"NJ O'Brien","Ireland","West Indies",79,11,0
"BRM Taylor","Zimbabwe","South Africa",79,5,2
"L Ronchi","New Zealand","South Africa",79,7,1
"S Dhawan","India","Sri Lanka",79,7,1
"Mohammad Shahzad","U.A.E","Afghanistan",79,10,1
"AM Rahane","India","South Africa",79,7,3
"DPMD Jayawardene","Sri Lanka","England",77,8,1
"Anamul Haque","Bangladesh","India",77,5,3
"Mohammad Nabi","Afghanistan","U.A.E.",77,8,3
"SPD Smith","Australia","Pakistan",77,3,0
"Mushfiqur Rahim","Bangladesh","Zimbabwe",77,7,0
"BB McCullum","New Zealand","England",77,8,7
"SC Williams","Zimbabwe","U.A.E.",76,7,1
"KC Sangakkara","Sri Lanka","Afghanistan",76,6,1
"Q de Kock","South Africa","Zimbabwe",76,7,1
"GJ Maxwell","Australia","Pakistan",76,9,1
"AJ Finch","Australia","South Africa",76,11,0
"Tamim Iqbal","Bangladesh","Zimbabwe",76,7,1
"Mohammad Hafeez","Pakistan","New Zealand",76,9,1
"KC Sangakkara","Sri Lanka","New Zealand",76,8,1
"MJ Guptill","New Zealand","Pakistan",76,8,1
"Misbah-ul-Haq","Pakistan","India",76,9,1
"Mohammad Hafeez","Pakistan","India",75,3,2
"DPMD Jayawardene","Sri Lanka","Pakistan",75,9,1
"AB de Villiers","South Africa","Sri Lanka",75,5,1
"AD Mathews","Sri Lanka","India",75,9,1
"CJ Anderson","New Zealand","Sri Lanka",75,8,2
"AD Mathews","Sri Lanka","Bangladesh",74,7,1
"Umar Akmal","Pakistan","Sri Lanka",74,7,3
"Fawad Alam","Pakistan","Bangladesh",74,4,2
"D Ramdin","West Indies","Bangladesh",74,6,1
"Javed Ahmadi","Afghanistan","Scotland",74,9,1
"SK Raina","India","Pakistan",74,5,3
"SPD Smith","Australia","South Africa",73,8,0
"Misbah-ul-Haq","Pakistan","Sri Lanka",73,4,2
"AM Rahane","India","Bangladesh",73,7,1
"AM Rahane","India","England",73,3,1
"S Dhawan","India","Pakistan",73,7,1
"Mushfiqur Rahim","Bangladesh","West Indies",72,8,0
"TM Dilshan","Sri Lanka","England",71,5,0
"SK Raina","India","West Indies",71,3,5
"Mushfiqur Rahim","Bangladesh","Afghanistan",71,6,1
"KS Williamson","New Zealand","Pakistan",70,7,0
"LMP Simmons","West Indies","England",70,4,2
"Usman Ghani","Afghanistan","Hong Kong",70,6,4
"SC Williams","Zimbabwe","Afghanistan",70,8,1
"H Masakadza","Zimbabwe","Australia",70,6,1
"GJ Bailey","Australia","South Africa",70,3,3
"DA Miller","South Africa","West Indies",70,7,2
"JE Root","England","Australia",69,6,0
"MJ Clarke","Australia","Zimbabwe",68,2,0
"S Dhawan","India","West Indies",68,9,0
"AM Rahane","India","West Indies",68,7,0
"JWA Taylor","England","Sri Lanka",68,5,1
"TM Dilshan","Sri Lanka","England",68,8,0
"MN Samuels","West Indies","South Africa",68,5,2
"KC Sangakkara","Sri Lanka","England",67,8,0
"KC Sangakkara","Sri Lanka","Pakistan",67,8,0
"AJ Finch","Australia","Zimbabwe",67,5,3
"DPMD Jayawardene","Sri Lanka","Pakistan",67,8,0
"MM Ali","England","India",67,4,3
"KJ O'Brien","Ireland","Scotland",67,9,0
"F du Plessis","South Africa","New Zealand",67,3,2
"MR Marsh","Australia","South Africa",67,3,2
"SPD Smith","Australia","South Africa",67,6,1
"Amjad Ali","U.A.E","Afghanistan",67,11,0
"Javed Ahmadi","Afghanistan","U.A.E.",67,11,1
"JC Buttler","England","India",67,7,0
"Shahid Afridi","Pakistan","New Zealand",67,9,3
"Shaiman Anwar","U.A.E","Zimbabwe",67,9,1
"MJ Guptill","New Zealand","Sri Lanka",66,4,3
"GJ Bailey","Australia","South Africa",66,3,3
"HM Amla","South Africa","Zimbabwe",66,5,1
"V Kohli","India","Sri Lanka",66,6,0
"AR Berenger","U.A.E","Afghanistan",66,10,0
"HM Amla","South Africa","West Indies",66,10,0
"GJ Maxwell","Australia","England",66,11,0
"VV Morea","Papua New Guinea","Hong Kong",65,5,0
"LMP Simmons","West Indies","England",65,6,0
"Misbah-ul-Haq","Pakistan","Sri Lanka",65,3,2
"Samiullah Shenwari","Afghanistan","Zimbabwe",65,3,1
"NLTC Perera","Sri Lanka","Pakistan",65,5,4
"Sarfraz Ahmed","Pakistan","Australia",65,5,1
"DA Miller","South Africa","Australia",65,5,1
"Mushfiqur Rahim","Bangladesh","Zimbabwe",65,2,2
"RS Bopara","England","Sri Lanka",65,4,2
"Haris Sohail","Pakistan","New Zealand",65,5,1
"BB McCullum","New Zealand","Sri Lanka",65,10,1
"HDRL Thirimanne","Sri Lanka","New Zealand",65,8,0
"AT Rayudu","India","England",64,6,0
"AD Russell","West Indies","South Africa",64,5,5
"GD Elliott","New Zealand","Pakistan",64,8,0
"LD Chandimal","Sri Lanka","Bangladesh",64,4,0
"MDKJ Perera","Sri Lanka","India",64,4,2
"GS Ballance","England","Sri Lanka",64,5,1
"AM Rahane","India","Bangladesh",64,5,2
"R Mutumbami","Zimbabwe","Afghanistan",64,8,0
"DR Smith","West Indies","South Africa",64,9,1
"CJ Chibhabha","Zimbabwe","South Africa",64,10,0
"Q de Kock","South Africa","Zimbabwe",63,8,1
"DPMD Jayawardene","Sri Lanka","Pakistan",63,8,0
"F Behardien","South Africa","Australia",63,7,2
"BRM Taylor","Zimbabwe","Bangladesh",63,7,0
"KC Sangakkara","Sri Lanka","England",63,7,0
"Shakib Al Hasan","Bangladesh","Afghanistan",63,6,1
"HDRL Thirimanne","Sri Lanka","England",62,7,0
