"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"RG Sharma (India)","264","225","173","33","9","152.60","1","","v Sri Lanka","Kolkata","13 Nov 2014",""
"L Ronchi (NZ)","170*","122","99","14","9","171.71","1","","v Sri Lanka","Dunedin","23 Jan 2015",""
"D Ramdin (WI)","169","187","121","8","11","139.66","1","","v Bangladesh","Basseterre","25 Aug 2014",""
"HM Amla (SA)","153*","236","142","14","0","107.74","1","","v West Indies","Johannesburg","18 Jan 2015",""
"AB de Villiers (SA)","149","59","44","9","16","338.63","1","","v West Indies","Johannesburg","18 Jan 2015",""
"Sikandar Raza (Zim)","141","171","133","11","7","106.01","2","","v Afghanistan","Bulawayo","20 Jul 2014",""
"IR Bell (Eng)","141","175","125","15","1","112.80","1","","v Australia","Hobart","23 Jan 2015",""
"AD Mathews (SL)","139*","141","116","6","10","119.82","1","","v India","Ranchi","16 Nov 2014",""
"V Kohli (India)","139*","192","126","12","3","110.31","2","","v Sri Lanka","Ranchi","16 Nov 2014",""
"DA Miller (SA)","138*","133","92","7","9","150.00","1","","v Zimbabwe","Hamilton","15 Feb 2015",""
"RG Sharma (India)","138","228","139","9","4","99.28","1","","v Australia","Melbourne","18 Jan 2015",""
"S Dhawan (India)","137","199","146","16","2","93.83","1","","v South Africa","Melbourne","22 Feb 2015",""
"AB de Villiers (SA)","136*","173","106","11","2","128.30","2","","v Australia","Harare","27 Aug 2014",""
"V Kohli (India)","136","157","122","16","2","111.47","2","","v Bangladesh","Fatullah","26 Feb 2014",""
"AJ Finch (Aus)","135","158","128","12","3","105.46","1","","v England","Melbourne","14 Feb 2015",""
"HM Amla (SA)","133","190","105","11","6","126.66","1","","v West Indies","Centurion","28 Jan 2015",""
"Khurram Khan (UAE)","132*","-","138","17","1","95.65","2","","v Afghanistan","Dubai (CA)","30 Nov 2014",""
"RR Rossouw (SA)","132","136","98","9","8","134.69","1","","v West Indies","Centurion","28 Jan 2015",""
"DA Miller (SA)","130*","191","133","11","3","97.74","1","","v West Indies","Port Elizabeth","25 Jan 2015",""
